employee_id,employee_department,employee_position
104,Information Technology,Systems and Network Administrator
105,Security and Information Security,Physical Access Control
106,Engineering Department,Head of Engineering
107,Operations and Manufacturing,Warehouse Manager
108,Project Management,Project Manager
109,R&D Department,Integration and Testing Engineer
110,R&D Department,Development Engineer (Hardware / Software / Mechanical)
111,Engineering Department,Design Engineer
112,Information Technology,IT Director
113,R&D Department,Head of R&D
114,R&D Department,Development Engineer (Hardware / Software / Mechanical)
115,Operations and Manufacturing,Operations Manager
116,Operations and Manufacturing,Logistics Manager
117,R&D Department,Systems Engineer
118,Human Resources,Secretary
119,Information Technology,BI Developer / Data Analyst
120,Engineering Department,Secretary
121,Engineering Department,Design Engineer
122,R&D Department,Algorithm Engineer
123,R&D Department,Systems Engineer
124,R&D Department,Algorithm Engineer
125,Engineering Department,Secretary
126,Project Management,Project Manager
127,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
128,R&D Department,Integration and Testing Engineer
129,R&D Department,Development Engineer (Hardware / Software / Mechanical)
130,Marketing and Business Development,Business Development Manager
131,Engineering Department,Design Engineer
132,Operations and Manufacturing,Secretary
133,Engineering Department,Head of Engineering
134,R&D Department,Algorithm Engineer
135,Operations and Manufacturing,Secretary
136,R&D Department,Algorithm Engineer
137,R&D Department,Systems Engineer
138,R&D Department,Development Engineer (Hardware / Software / Mechanical)
139,Information Technology,Information Security Specialist
140,Engineering Department,Test Engineer
141,Information Technology,Data Scientist
142,R&D Department,Systems Engineer
143,Project Management,Secretary
144,Project Management,Secretary
145,Human Resources,Employee Welfare Coordinator
146,R&D Department,Systems Engineer
147,Marketing and Business Development,Account Manager
148,Human Resources,Training Coordinator
149,Operations and Manufacturing,Manufacturing Engineer
150,Marketing and Business Development,Marketing Manager
151,Information Technology,Information Security Specialist
152,R&D Department,Integration and Testing Engineer
153,R&D Department,Integration and Testing Engineer
154,Engineering Department,Design Engineer
155,Engineering Department,Design Engineer
156,R&D Department,Secretary
157,Human Resources,HR Manager
158,Marketing and Business Development,Marketing Manager
159,R&D Department,Integration and Testing Engineer
160,R&D Department,Secretary
161,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
162,Operations and Manufacturing,Manufacturing Engineer
163,Operations and Manufacturing,Procurement Officer
164,Security and Information Security,Physical Access Control
165,R&D Department,Integration and Testing Engineer
166,Operations and Manufacturing,Manufacturing Engineer
167,Information Technology,Secretary
168,Information Technology,Data Scientist
169,Operations and Manufacturing,Procurement Officer
170,Engineering Department,Process Engineer
171,Engineering Department,Secretary
172,Marketing and Business Development,Secretary
173,Engineering Department,Head of Engineering
174,Project Management,Project Manager
175,R&D Department,Secretary
176,Operations and Manufacturing,Warehouse Manager
177,Operations and Manufacturing,Manufacturing Engineer
178,Operations and Manufacturing,Manufacturing Engineer
179,R&D Department,Algorithm Engineer
180,Project Management,Project Engineer
181,R&D Department,Algorithm Engineer
182,R&D Department,Secretary
183,Information Technology,Data Scientist
184,R&D Department,Head of R&D
185,Marketing and Business Development,Bid Coordinator
186,Legal and Regulation,Regulatory Affairs Officer
187,R&D Department,Algorithm Engineer
188,Information Technology,Secretary
189,Engineering Department,Design Engineer
190,Engineering Department,Systems Engineer
191,Information Technology,Data Scientist
192,Project Management,Project Manager
193,Operations and Manufacturing,Logistics Manager
194,Marketing and Business Development,Account Manager
195,Information Technology,Data Scientist
196,Information Technology,Information Security Specialist
197,R&D Department,Integration and Testing Engineer
198,Project Management,Project Coordinator
199,Finance,Finance Manager
200,R&D Department,Systems Engineer
201,Engineering Department,Process Engineer
202,Finance,Accountant
203,Human Resources,Secretary
204,Human Resources,HR Manager
205,Operations and Manufacturing,Warehouse Manager
206,R&D Department,Systems Engineer
207,Human Resources,HR Manager
208,Marketing and Business Development,Marketing Manager
209,R&D Department,Algorithm Engineer
210,Engineering Department,Secretary
211,Operations and Manufacturing,Secretary
212,Information Technology,BI Developer / Data Analyst
213,Finance,Financial Analyst
214,Operations and Manufacturing,Procurement Officer
215,Marketing and Business Development,Secretary
216,Human Resources,Employee Welfare Coordinator
217,Operations and Manufacturing,Logistics Manager
218,R&D Department,Integration and Testing Engineer
219,Engineering Department,Systems Engineer
220,Engineering Department,Process Engineer
221,R&D Department,Development Engineer (Hardware / Software / Mechanical)
222,R&D Department,Head of R&D
223,Operations and Manufacturing,Manufacturing Engineer
224,Engineering Department,Head of Engineering
225,Marketing and Business Development,Business Development Manager
226,Operations and Manufacturing,Operations Manager
227,Operations and Manufacturing,Logistics Manager
228,Security and Information Security,Chief Information Security Officer (CISO)
229,Information Technology,Data Scientist
230,Information Technology,Data Scientist
231,Human Resources,HR Manager
232,Operations and Manufacturing,Procurement Officer
233,Operations and Manufacturing,Logistics Manager
234,Human Resources,Employee Welfare Coordinator
235,Project Management,Project Coordinator
236,Project Management,Project Engineer
237,Project Management,Project Manager
238,R&D Department,Development Engineer (Hardware / Software / Mechanical)
239,Information Technology,Data Scientist
240,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
241,Information Technology,Data Scientist
242,R&D Department,Algorithm Engineer
243,Operations and Manufacturing,Secretary
244,R&D Department,Systems Engineer
245,Operations and Manufacturing,Warehouse Manager
246,Marketing and Business Development,Account Manager
247,Information Technology,BI Developer / Data Analyst
248,Project Management,Project Coordinator
249,R&D Department,Head of R&D
250,Information Technology,Secretary
251,R&D Department,Head of R&D
252,Information Technology,BI Developer / Data Analyst
253,Legal and Regulation,Regulatory Affairs Officer
254,Engineering Department,Secretary
255,R&D Department,Secretary
256,R&D Department,Algorithm Engineer
257,Engineering Department,Process Engineer
258,Human Resources,Employee Welfare Coordinator
259,Engineering Department,Design Engineer
260,R&D Department,Integration and Testing Engineer
261,Engineering Department,Test Engineer
262,Project Management,Project Engineer
263,Information Technology,Information Security Specialist
264,Operations and Manufacturing,Operations Manager
265,Engineering Department,Test Engineer
266,Engineering Department,Systems Engineer
267,Project Management,Project Engineer
268,R&D Department,Systems Engineer
269,Information Technology,Secretary
270,R&D Department,Algorithm Engineer
271,Human Resources,Employee Welfare Coordinator
272,R&D Department,Head of R&D
273,Engineering Department,Secretary
274,Operations and Manufacturing,Procurement Officer
275,Engineering Department,Systems Engineer
276,R&D Department,Integration and Testing Engineer
277,R&D Department,Head of R&D
278,R&D Department,Head of R&D
279,Project Management,Project Coordinator
280,Operations and Manufacturing,Warehouse Manager
281,Information Technology,Data Scientist
282,Engineering Department,Systems Engineer
283,Information Technology,Data Scientist
284,Information Technology,Information Security Specialist
285,R&D Department,Systems Engineer
286,Engineering Department,Design Engineer
287,Engineering Department,Process Engineer
288,Marketing and Business Development,Secretary
289,Operations and Manufacturing,Procurement Officer
290,Information Technology,Secretary
291,R&D Department,Algorithm Engineer
292,Project Management,Secretary
293,Finance,Financial Analyst
294,Engineering Department,Test Engineer
295,Engineering Department,Secretary
296,Engineering Department,Secretary
297,Marketing and Business Development,Marketing Manager
298,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
299,Marketing and Business Development,Secretary
300,Information Technology,Data Scientist
301,Operations and Manufacturing,Secretary
302,R&D Department,Development Engineer (Hardware / Software / Mechanical)
303,Operations and Manufacturing,Warehouse Manager
304,Operations and Manufacturing,Procurement Officer
305,Operations and Manufacturing,Operations Manager
306,R&D Department,Integration and Testing Engineer
307,Project Management,Project Engineer
308,Operations and Manufacturing,Warehouse Manager
309,R&D Department,Systems Engineer
310,Project Management,Project Manager
311,Finance,Accountant
312,Information Technology,Secretary
313,Marketing and Business Development,Bid Coordinator
314,R&D Department,Algorithm Engineer
315,R&D Department,Integration and Testing Engineer
316,Marketing and Business Development,Bid Coordinator
317,Human Resources,Training Coordinator
318,R&D Department,Secretary
319,R&D Department,Head of R&D
320,Information Technology,Information Security Specialist
321,Information Technology,Data Scientist
322,Engineering Department,Head of Engineering
323,Security and Information Security,Information Security Investigator
324,Human Resources,Recruitment Coordinator
325,R&D Department,Development Engineer (Hardware / Software / Mechanical)
326,Engineering Department,Test Engineer
327,Operations and Manufacturing,Manufacturing Engineer
328,R&D Department,Secretary
329,Operations and Manufacturing,Logistics Manager
330,Operations and Manufacturing,Operations Manager
331,Engineering Department,Secretary
332,Finance,Budget Manager
333,Engineering Department,Test Engineer
334,Engineering Department,Systems Engineer
335,Security and Information Security,Physical Access Control
336,Project Management,Secretary
337,Finance,Financial Analyst
338,R&D Department,Systems Engineer
339,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
340,R&D Department,Development Engineer (Hardware / Software / Mechanical)
341,Operations and Manufacturing,Secretary
342,Marketing and Business Development,Business Development Manager
343,Engineering Department,Secretary
344,R&D Department,Systems Engineer
345,Operations and Manufacturing,Secretary
346,Human Resources,HR Manager
347,R&D Department,Integration and Testing Engineer
348,R&D Department,Algorithm Engineer
349,Engineering Department,Systems Engineer
350,Project Management,Secretary
351,Engineering Department,Test Engineer
352,R&D Department,Development Engineer (Hardware / Software / Mechanical)
353,Operations and Manufacturing,Secretary
354,Engineering Department,Head of Engineering
355,Operations and Manufacturing,Procurement Officer
356,R&D Department,Systems Engineer
357,Engineering Department,Secretary
358,R&D Department,Integration and Testing Engineer
359,Engineering Department,Secretary
360,Information Technology,Systems and Network Administrator
361,R&D Department,Algorithm Engineer
362,Security and Information Security,Chief Information Security Officer (CISO)
363,Engineering Department,Test Engineer
364,Information Technology,Secretary
365,Engineering Department,Secretary
366,R&D Department,Head of R&D
367,Operations and Manufacturing,Procurement Officer
368,R&D Department,Secretary
369,Marketing and Business Development,Marketing Manager
370,Operations and Manufacturing,Logistics Manager
371,R&D Department,Systems Engineer
372,Engineering Department,Process Engineer
373,R&D Department,Systems Engineer
374,Information Technology,Secretary
375,Security and Information Security,Security Officer
376,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
377,Engineering Department,Design Engineer
378,R&D Department,Development Engineer (Hardware / Software / Mechanical)
379,Engineering Department,Design Engineer
380,Engineering Department,Design Engineer
381,Operations and Manufacturing,Logistics Manager
382,Marketing and Business Development,Business Development Manager
383,R&D Department,Head of R&D
384,Information Technology,IT Director
385,R&D Department,Development Engineer (Hardware / Software / Mechanical)
386,Operations and Manufacturing,Procurement Officer
387,Engineering Department,Systems Engineer
388,R&D Department,Algorithm Engineer
389,R&D Department,Integration and Testing Engineer
390,R&D Department,Head of R&D
391,Information Technology,Data Scientist
392,Engineering Department,Systems Engineer
393,R&D Department,Integration and Testing Engineer
394,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
395,Engineering Department,Secretary
396,Security and Information Security,Information Security Investigator
397,Information Technology,Data Scientist
398,Information Technology,BI Developer / Data Analyst
399,Engineering Department,Head of Engineering
400,Marketing and Business Development,Bid Coordinator
401,Marketing and Business Development,Marketing Manager
402,Marketing and Business Development,Secretary
403,Project Management,Project Manager
404,Marketing and Business Development,Bid Coordinator
405,Operations and Manufacturing,Operations Manager
406,Project Management,Project Manager
407,Human Resources,Recruitment Coordinator
408,Security and Information Security,Chief Information Security Officer (CISO)
409,Operations and Manufacturing,Secretary
410,Operations and Manufacturing,Manufacturing Engineer
411,Project Management,Project Manager
412,R&D Department,Integration and Testing Engineer
413,Marketing and Business Development,Bid Coordinator
414,Marketing and Business Development,Business Development Manager
415,Engineering Department,Design Engineer
416,Project Management,Project Manager
417,Operations and Manufacturing,Manufacturing Engineer
418,Operations and Manufacturing,Procurement Officer
419,Operations and Manufacturing,Secretary
420,Engineering Department,Process Engineer
421,R&D Department,Head of R&D
422,Engineering Department,Head of Engineering
423,Human Resources,Training Coordinator
424,Project Management,Project Coordinator
425,R&D Department,Development Engineer (Hardware / Software / Mechanical)
426,R&D Department,Integration and Testing Engineer
427,Engineering Department,Design Engineer
428,Information Technology,BI Developer / Data Analyst
429,R&D Department,Development Engineer (Hardware / Software / Mechanical)
430,Operations and Manufacturing,Manufacturing Engineer
431,Marketing and Business Development,Secretary
432,Operations and Manufacturing,Secretary
433,Finance,Budget Manager
434,Project Management,Project Coordinator
435,Operations and Manufacturing,Secretary
436,Project Management,Secretary
437,Engineering Department,Test Engineer
438,Marketing and Business Development,Account Manager
439,R&D Department,Secretary
440,Engineering Department,Test Engineer
441,Information Technology,IT Director
442,Information Technology,Systems and Network Administrator
443,Finance,Finance Manager
444,Engineering Department,Head of Engineering
445,Information Technology,Secretary
446,Legal and Regulation,Regulatory Affairs Officer
447,R&D Department,Development Engineer (Hardware / Software / Mechanical)
448,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
449,Human Resources,HR Manager
450,R&D Department,Development Engineer (Hardware / Software / Mechanical)
451,Marketing and Business Development,Marketing Manager
452,R&D Department,Integration and Testing Engineer
453,Information Technology,Secretary
454,Human Resources,Secretary
455,Engineering Department,Process Engineer
456,Operations and Manufacturing,Secretary
457,R&D Department,Systems Engineer
458,Operations and Manufacturing,Logistics Manager
459,Engineering Department,Design Engineer
460,Finance,Finance Manager
461,Marketing and Business Development,Bid Coordinator
462,Operations and Manufacturing,Warehouse Manager
463,Operations and Manufacturing,Warehouse Manager
464,Finance,Budget Manager
465,Information Technology,Secretary
466,Engineering Department,Systems Engineer
467,R&D Department,Systems Engineer
468,Engineering Department,Process Engineer
469,Marketing and Business Development,Bid Coordinator
470,R&D Department,Head of R&D
471,Marketing and Business Development,Secretary
472,R&D Department,Algorithm Engineer
473,Finance,Accountant
474,Engineering Department,Test Engineer
475,R&D Department,Integration and Testing Engineer
476,R&D Department,Integration and Testing Engineer
477,Finance,Budget Manager
478,Marketing and Business Development,Account Manager
479,Engineering Department,Design Engineer
480,Information Technology,Information Security Specialist
481,Engineering Department,Systems Engineer
482,R&D Department,Systems Engineer
483,R&D Department,Head of R&D
484,Marketing and Business Development,Bid Coordinator
485,Marketing and Business Development,Bid Coordinator
486,R&D Department,Integration and Testing Engineer
487,R&D Department,Secretary
488,R&D Department,Integration and Testing Engineer
489,Engineering Department,Process Engineer
490,Operations and Manufacturing,Secretary
491,R&D Department,Integration and Testing Engineer
492,Marketing and Business Development,Business Development Manager
493,R&D Department,Integration and Testing Engineer
494,Engineering Department,Systems Engineer
495,Operations and Manufacturing,Operations Manager
496,Information Technology,BI Developer / Data Analyst
497,Engineering Department,Head of Engineering
498,Project Management,Project Manager
499,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
500,Project Management,Project Manager
501,R&D Department,Algorithm Engineer
502,Operations and Manufacturing,Procurement Officer
503,Project Management,Project Coordinator
504,R&D Department,Algorithm Engineer
505,Marketing and Business Development,Secretary
506,R&D Department,Development Engineer (Hardware / Software / Mechanical)
507,R&D Department,Integration and Testing Engineer
508,R&D Department,Development Engineer (Hardware / Software / Mechanical)
509,R&D Department,Systems Engineer
510,Human Resources,Employee Welfare Coordinator
511,Project Management,Project Engineer
512,Security and Information Security,Security Officer
513,R&D Department,Systems Engineer
514,Operations and Manufacturing,Secretary
515,Marketing and Business Development,Marketing Manager
516,Information Technology,IT Director
517,R&D Department,Development Engineer (Hardware / Software / Mechanical)
518,Information Technology,Data Scientist
519,Information Technology,Information Security Specialist
520,R&D Department,Integration and Testing Engineer
521,Project Management,Project Manager
522,Engineering Department,Secretary
523,R&D Department,Integration and Testing Engineer
524,R&D Department,Head of R&D
525,Legal and Regulation,Legal Advisor
526,Information Technology,BI Developer / Data Analyst
527,Project Management,Project Coordinator
528,Operations and Manufacturing,Logistics Manager
529,R&D Department,Secretary
530,Project Management,Project Manager
531,Engineering Department,Test Engineer
532,Project Management,Project Coordinator
533,Information Technology,Data Scientist
534,Operations and Manufacturing,Warehouse Manager
535,Finance,Secretary
536,Marketing and Business Development,Secretary
537,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
538,R&D Department,Integration and Testing Engineer
539,Project Management,Project Coordinator
540,Operations and Manufacturing,Secretary
541,Operations and Manufacturing,Operations Manager
542,Engineering Department,Design Engineer
543,Project Management,Project Coordinator
544,R&D Department,Integration and Testing Engineer
545,R&D Department,Development Engineer (Hardware / Software / Mechanical)
546,R&D Department,Algorithm Engineer
547,Finance,Finance Manager
548,R&D Department,Head of R&D
549,R&D Department,Systems Engineer
550,Project Management,Secretary
551,Human Resources,Employee Welfare Coordinator
552,Engineering Department,Process Engineer
553,Information Technology,Secretary
554,R&D Department,Head of R&D
555,Operations and Manufacturing,Secretary
556,R&D Department,Development Engineer (Hardware / Software / Mechanical)
557,Marketing and Business Development,Secretary
558,R&D Department,Development Engineer (Hardware / Software / Mechanical)
559,Marketing and Business Development,Business Development Manager
560,Information Technology,Secretary
561,Engineering Department,Test Engineer
562,R&D Department,Development Engineer (Hardware / Software / Mechanical)
563,Project Management,Secretary
564,Information Technology,Data Scientist
565,Security and Information Security,Security Officer
566,Engineering Department,Secretary
567,Security and Information Security,Chief Information Security Officer (CISO)
568,R&D Department,Systems Engineer
569,Information Technology,Data Scientist
570,Engineering Department,Systems Engineer
571,Information Technology,BI Developer / Data Analyst
572,Project Management,Secretary
573,Project Management,Secretary
574,Marketing and Business Development,Secretary
575,Engineering Department,Head of Engineering
576,Marketing and Business Development,Marketing Manager
577,Operations and Manufacturing,Secretary
578,Operations and Manufacturing,Secretary
579,Operations and Manufacturing,Warehouse Manager
580,Operations and Manufacturing,Secretary
581,Human Resources,Recruitment Coordinator
582,Marketing and Business Development,Bid Coordinator
583,Engineering Department,Secretary
584,Operations and Manufacturing,Secretary
585,Information Technology,IT Director
586,Marketing and Business Development,Bid Coordinator
587,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
588,Project Management,Secretary
589,Engineering Department,Design Engineer
590,Finance,Accountant
591,Operations and Manufacturing,Procurement Officer
592,Information Technology,IT Director
593,Engineering Department,Design Engineer
594,Project Management,Project Coordinator
595,Marketing and Business Development,Secretary
596,R&D Department,Systems Engineer
597,Human Resources,Recruitment Coordinator
598,Information Technology,Information Security Specialist
599,Engineering Department,Test Engineer
600,Operations and Manufacturing,Procurement Officer
601,Marketing and Business Development,Bid Coordinator
602,Information Technology,BI Developer / Data Analyst
603,Project Management,Project Engineer
604,Project Management,Project Coordinator
605,Operations and Manufacturing,Manufacturing Engineer
606,Human Resources,Employee Welfare Coordinator
607,Marketing and Business Development,Secretary
608,Engineering Department,Design Engineer
609,Operations and Manufacturing,Operations Manager
610,R&D Department,Development Engineer (Hardware / Software / Mechanical)
611,R&D Department,Systems Engineer
612,Information Technology,BI Developer / Data Analyst
613,Engineering Department,Systems Engineer
614,R&D Department,Algorithm Engineer
615,Engineering Department,Systems Engineer
616,Engineering Department,Design Engineer
617,Finance,Secretary
618,R&D Department,Development Engineer (Hardware / Software / Mechanical)
619,Information Technology,BI Developer / Data Analyst
620,Finance,Budget Manager
621,Operations and Manufacturing,Operations Manager
622,Engineering Department,Systems Engineer
623,R&D Department,Systems Engineer
624,Information Technology,Information Security Specialist
625,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
626,Project Management,Project Engineer
627,R&D Department,Algorithm Engineer
628,Security and Information Security,Information Security Investigator
629,R&D Department,Development Engineer (Hardware / Software / Mechanical)
630,Operations and Manufacturing,Procurement Officer
631,R&D Department,Secretary
632,R&D Department,Head of R&D
633,R&D Department,Secretary
634,R&D Department,Systems Engineer
635,Information Technology,BI Developer / Data Analyst
636,R&D Department,Secretary
637,Marketing and Business Development,Account Manager
638,Information Technology,IT Director
639,Operations and Manufacturing,Warehouse Manager
640,R&D Department,Head of R&D
641,Project Management,Project Engineer
642,Marketing and Business Development,Marketing Manager
643,Human Resources,Training Coordinator
644,Information Technology,Information Security Specialist
645,Marketing and Business Development,Secretary
646,Engineering Department,Secretary
647,R&D Department,Development Engineer (Hardware / Software / Mechanical)
648,R&D Department,Head of R&D
649,Engineering Department,Design Engineer
650,R&D Department,Systems Engineer
651,Legal and Regulation,Regulatory Affairs Officer
652,Engineering Department,Systems Engineer
653,R&D Department,Systems Engineer
654,Finance,Financial Analyst
655,R&D Department,Head of R&D
656,Project Management,Project Engineer
657,R&D Department,Systems Engineer
658,Human Resources,Secretary
659,Security and Information Security,Security Officer
660,Engineering Department,Head of Engineering
661,R&D Department,Integration and Testing Engineer
662,R&D Department,Algorithm Engineer
663,Marketing and Business Development,Business Development Manager
664,Project Management,Secretary
665,Human Resources,Employee Welfare Coordinator
666,Project Management,Project Manager
667,Security and Information Security,Chief Information Security Officer (CISO)
668,Security and Information Security,Cyber Analyst
669,R&D Department,Integration and Testing Engineer
670,Marketing and Business Development,Account Manager
671,R&D Department,Systems Engineer
672,Project Management,Project Coordinator
673,Information Technology,BI Developer / Data Analyst
674,Project Management,Project Engineer
675,Information Technology,BI Developer / Data Analyst
676,Information Technology,Information Security Specialist
677,R&D Department,Development Engineer (Hardware / Software / Mechanical)
678,Finance,Budget Manager
679,Operations and Manufacturing,Operations Manager
680,Operations and Manufacturing,Warehouse Manager
681,R&D Department,Development Engineer (Hardware / Software / Mechanical)
682,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
683,Finance,Budget Manager
684,Project Management,Project Engineer
685,Legal and Regulation,Legal Advisor
686,Finance,Budget Manager
687,Information Technology,Secretary
688,Marketing and Business Development,Bid Coordinator
689,R&D Department,Systems Engineer
690,Information Technology,Secretary
691,Information Technology,Data Scientist
692,R&D Department,Systems Engineer
693,Security and Information Security,Physical Access Control
694,Operations and Manufacturing,Procurement Officer
695,Project Management,Project Engineer
696,Human Resources,Training Coordinator
697,R&D Department,Secretary
698,R&D Department,Systems Engineer
699,Operations and Manufacturing,Procurement Officer
700,Marketing and Business Development,Secretary
701,R&D Department,Development Engineer (Hardware / Software / Mechanical)
702,R&D Department,Integration and Testing Engineer
703,Marketing and Business Development,Bid Coordinator
704,Operations and Manufacturing,Logistics Manager
705,Engineering Department,Systems Engineer
706,Finance,Secretary
707,R&D Department,Secretary
708,Information Technology,Information Security Specialist
709,Engineering Department,Design Engineer
710,R&D Department,Systems Engineer
711,Information Technology,IT Director
712,Operations and Manufacturing,Operations Manager
713,R&D Department,Head of R&D
714,R&D Department,Head of R&D
715,R&D Department,Integration and Testing Engineer
716,Engineering Department,Test Engineer
717,Finance,Budget Manager
718,Information Technology,Systems and Network Administrator
719,Engineering Department,Head of Engineering
720,R&D Department,Head of R&D
721,Operations and Manufacturing,Manufacturing Engineer
722,Information Technology,Systems and Network Administrator
723,R&D Department,Head of R&D
724,Human Resources,Employee Welfare Coordinator
725,Project Management,Project Coordinator
726,R&D Department,Secretary
727,R&D Department,Integration and Testing Engineer
728,Finance,Secretary
729,Information Technology,Information Security Specialist
730,R&D Department,Development Engineer (Hardware / Software / Mechanical)
731,Engineering Department,Test Engineer
732,Finance,Accountant
733,Operations and Manufacturing,Warehouse Manager
734,Finance,Finance Manager
735,Information Technology,Data Scientist
736,Human Resources,Secretary
737,Engineering Department,Design Engineer
738,Information Technology,Information Security Specialist
739,R&D Department,Integration and Testing Engineer
740,Engineering Department,Systems Engineer
741,Engineering Department,Systems Engineer
742,Project Management,Secretary
743,Information Technology,Data Scientist
744,Engineering Department,Test Engineer
745,Engineering Department,Process Engineer
746,Project Management,Project Coordinator
747,Operations and Manufacturing,Manufacturing Engineer
748,Operations and Manufacturing,Warehouse Manager
749,Marketing and Business Development,Account Manager
750,Engineering Department,Design Engineer
751,Marketing and Business Development,Secretary
752,Engineering Department,Test Engineer
753,Operations and Manufacturing,Warehouse Manager
754,Information Technology,Information Security Specialist
755,Finance,Budget Manager
756,Project Management,Project Manager
757,Operations and Manufacturing,Secretary
758,Operations and Manufacturing,Secretary
759,Engineering Department,Head of Engineering
760,R&D Department,Integration and Testing Engineer
761,Information Technology,Secretary
762,R&D Department,Secretary
763,R&D Department,Algorithm Engineer
764,R&D Department,Development Engineer (Hardware / Software / Mechanical)
765,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
766,Legal and Regulation,Defense Export Compliance Officer
767,Information Technology,Enterprise Systems Developer (ERP / CRM / SAP)
768,Human Resources,Recruitment Coordinator
769,Project Management,Project Engineer
770,Engineering Department,Process Engineer
771,Operations and Manufacturing,Logistics Manager
772,Operations and Manufacturing,Warehouse Manager
773,R&D Department,Head of R&D
774,Security and Information Security,Cyber Analyst
775,Engineering Department,Head of Engineering
776,Marketing and Business Development,Bid Coordinator
777,Security and Information Security,Physical Access Control
